;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
9797;Apartamento;Laranjeiras;2;1;0;74;2500.0;668.0;98.0
9798;Apartamento;Engenho Novo;3;1;1;79;1300.0;672.0;115.0
9799;Quitinete;Copacabana;1;0;0;41;1300.0;690.0;72.0
9800;Apartamento;Copacabana;3;1;0;140;4400.0;1259.0;236.0
9801;Apartamento;Copacabana;1;0;0;38;3500.0;600.0;653.0
9802;Apartamento;Humaitá;3;1;1;115;4300.0;868.0;
9803;Apartamento;São Conrado;4;3;1;164;7500.0;2500.0;532.0
9804;Apartamento;Barra da Tijuca;4;3;4;270;18000.0;5200.0;1400.0
9805;Quitinete;Centro;1;0;0;22;800.0;450.0;254.0
9806;Quitinete;Botafogo;1;0;0;25;1000.0;366.0;50.0
9807;Casa;Catete;3;1;0;111;3200.0;340.0;98.0
9808;Apartamento;Recreio dos Bandeirantes;3;2;1;100;1900.0;865.0;11.0
9809;Apartamento;Lagoa;2;1;1;92;4500.0;1100.0;3235.0
9810;Apartamento;Glória;2;0;0;112;2300.0;690.0;
9811;Apartamento;Copacabana;2;0;0;75;3200.0;550.0;40.0
9812;Apartamento;Ipanema;3;1;2;180;7500.0;1900.0;350.0
9813;Apartamento;Andaraí;3;0;0;70;1200.0;350.0;20.0
9814;Apartamento;Copacabana;1;0;0;34;1500.0;575.0;57.0
9815;Apartamento;Braz de Pina;2;0;0;45;990.0;374.0;
9816;Apartamento;Engenho da Rainha;2;1;0;70;1000.0;285.0;
9817;Apartamento;Tijuca;2;0;0;48;1300.0;446.0;
9818;Apartamento;Botafogo;3;2;0;115;3200.0;1070.0;
9819;Apartamento;Copacabana;1;0;0;38;1700.0;550.0;38.0
9820;Apartamento;Barra da Tijuca;4;2;1;145;4800.0;2724.0;510.0
9821;Apartamento;Barra da Tijuca;2;1;1;90;2950.0;1350.0;259.0
9822;Apartamento;Copacabana;3;0;0;103;2500.0;1345.0;226.0
9823;Apartamento;Barra da Tijuca;3;2;1;140;5000.0;1900.0;700.0
9824;Apartamento;Botafogo;3;2;1;120;4450.0;1500.0;120.0
9825;Apartamento;São Cristóvão;2;0;0;47;1300.0;410.0;1350.0
9826;Apartamento;Barra da Tijuca;3;1;1;80;2300.0;600.0;87.0
9827;Apartamento;Barra da Tijuca;4;2;2;130;5000.0;1350.0;250.0
9828;Apartamento;Leblon;3;2;3;300;15000.0;4500.0;1700.0
9829;Apartamento;Ipanema;3;1;1;115;6100.0;1700.0;230.0
9830;Apartamento;Recreio dos Bandeirantes;2;1;1;70;2200.0;750.0;
9831;Apartamento;Barra da Tijuca;2;1;1;70;2800.0;750.0;160.0
9832;Apartamento;Méier;1;1;0;40;900.0;456.0;20.0
9833;Apartamento;Tijuca;3;1;2;140;2900.0;220.0;182.0
9834;Apartamento;Vila da Penha;2;1;0;78;1100.0;190.0;
9835;Apartamento;Laranjeiras;2;1;1;86;3400.0;1865.0;227.0
9836;Apartamento;Barra da Tijuca;3;2;0;212;5000.0;1200.0;682.0
9837;Apartamento;Maracanã;3;2;0;128;2400.0;1005.0;
9838;Apartamento;Barra da Tijuca;3;3;3;268;11000.0;3970.0;1480.0
9839;Apartamento;Barra da Tijuca;3;0;1;220;6000.0;1995.0;
9840;Quitinete;Tijuca;0;0;0;20;800.0;380.0;
9841;Apartamento;Barra da Tijuca;2;1;1;72;1600.0;1160.0;76.0
9842;Casa de Vila;Cascadura;1;0;0;23;750.0;;
9843;Apartamento;Tijuca;3;1;1;174;3250.0;1350.0;278.0
9844;Apartamento;Tijuca;2;0;0;62;1500.0;576.0;62.0
9845;Apartamento;Península;2;1;1;74;3300.0;1100.0;
9846;Casa de Condomínio;Barra da Tijuca;4;4;2;660;30000.0;1050.0;1300.0
9847;Apartamento;Campo Grande;2;1;1;100;1300.0;350.0;
9848;Apartamento;Praça Seca;2;1;1;64;1100.0;504.0;
9849;Apartamento;Copacabana;1;0;1;38;2200.0;450.0;
9850;Apartamento;Catete;3;0;1;97;2800.0;712.0;159.0
9851;Apartamento;Olaria;2;0;0;66;780.0;344.0;
9852;Apartamento;Freguesia (Jacarepaguá);2;0;1;79;1400.0;750.0;93.0
9853;Apartamento;Barra da Tijuca;5;4;5;434;20000.0;4600.0;11000.0
9854;Casa;Taquara;4;4;4;300;5000.0;755.0;
9855;Apartamento;Flamengo;2;0;0;74;3000.0;650.0;126.0
9856;Casa;Vila da Penha;3;2;1;100;2000.0;;
9857;Apartamento;Andaraí;1;1;0;55;1200.0;870.0;25.0
9858;Casa;Parada de Lucas;2;0;0;80;1600.0;;
9859;Apartamento;Barra da Tijuca;4;3;4;249;8500.0;2850.0;750.0
9860;Casa;Laranjeiras;3;0;2;408;29000.0;850.0;800.0
9861;Apartamento;Recreio dos Bandeirantes;2;2;2;180;1800.0;815.0;340.0
9862;Apartamento;Barra da Tijuca;3;2;1;119;4200.0;1759.0;414.0
9863;Apartamento;Humaitá;2;1;1;77;2600.0;1096.0;120.0
9864;Apartamento;São Conrado;2;1;1;101;2450.0;1416.0;231.0
9865;Casa;Barra da Tijuca;5;6;4;788;18000.0;2214.0;2181.0
